timestamp;subjectId;designTrialIndex;representation;signalType;quadrant;targetAzDeg;targetElDeg;errorDeg;errorAzDeg;errorElDeg;responseTimeSec;maxHeadDeviationDeg;maxYawDeviationDeg;maxPitchDeviationDeg;headDeviationExceeded
04.03.2026 16:11;localization_Neu_Laura_Gress;1;HOA4thOrder;Voice;2;282,1;1,2;37,671;34,468;16,086;5,294;3,5;3,3;1,2;0
04.03.2026 16:13;localization_Neu_Laura_Gress;1;HOA3rdOrder;Voice;2;342,5;-22,5;25,028;19,41;16,79;4,015;3,3;3;0,9;0
04.03.2026 16:13;localization_Neu_Laura_Gress;2;HOA3rdOrder;Voice;4;145,7;21,9;39,643;29,801;-26,665;3,104;3,1;2;0,6;0
04.03.2026 16:13;localization_Neu_Laura_Gress;3;HOA4thOrder;Tone;1;187,5;-2;9,189;-8,634;-3,257;3,92;1,6;1,2;0,9;0
04.03.2026 16:13;localization_Neu_Laura_Gress;4;HOA4thOrder;Music;3;3,2;38,1;46,982;44,088;-25,32;4,129;2,9;2,7;1,1;0
04.03.2026 16:13;localization_Neu_Laura_Gress;5;HOA4thOrder;Music;2;303,3;-25,5;28,255;29,86;7,135;2,304;3,6;3,1;2;0
04.03.2026 16:13;localization_Neu_Laura_Gress;6;HOA3rdOrder;Music;2;320;-6;8,482;4,309;7,314;5,907;3,4;3,4;1,3;0
04.03.2026 16:14;localization_Neu_Laura_Gress;7;Binaural;Music;4;118,4;28;50,955;28,856;-42,539;4,177;2,2;0,5;2,2;0
04.03.2026 16:14;localization_Neu_Laura_Gress;8;Binaural;Voice;1;189,5;-32,5;68,089;-67,508;27,495;4,415;1,1;0,5;0,9;0
04.03.2026 16:14;localization_Neu_Laura_Gress;9;HOA3rdOrder;Tone;3;60,4;-59,5;95,132;-59,579;82,519;3,472;3,6;3,3;0,9;0
04.03.2026 16:14;localization_Neu_Laura_Gress;10;Binaural;Voice;2;309,4;47,6;107,189;109,901;-50,921;4,858;1,1;0,6;1;0
04.03.2026 16:14;localization_Neu_Laura_Gress;11;Binaural;Music;3;10,6;82,4;108,959;46,566;-106,917;4,418;1,7;0,8;1,6;0
