timestamp;subjectId;designTrialIndex;representation;signalType;quadrant;targetAzDeg;targetElDeg;errorDeg;errorAzDeg;errorElDeg;responseTimeSec;maxHeadDeviationDeg;maxYawDeviationDeg;maxPitchDeviationDeg;headDeviationExceeded
04.03.2026 16:27;localization_Neu_Marcel_Gress;1;HOA4thOrder;Tone;4;111,2;-21,3;103,209;92,116;53,564;2,288;2;1,9;0,9;0
04.03.2026 16:27;localization_Neu_Marcel_Gress;2;Binaural;Tone;4;148,4;26;24,068;14,355;-19,677;3,103;1,7;0,2;1,3;0
04.03.2026 16:28;localization_Neu_Marcel_Gress;3;Binaural;Voice;3;55,4;13,5;22,753;-12,685;-18,934;4,384;1,7;1,7;0,4;0
04.03.2026 16:28;localization_Neu_Marcel_Gress;4;Binaural;Music;4;123,9;51,4;75,377;-12,219;-74,593;3,616;1,4;0,2;1,2;0
04.03.2026 16:28;localization_Neu_Marcel_Gress;5;Binaural;Tone;3;89,2;-49,4;157,922;141,382;112,805;4,014;0,9;0,5;0,7;0
04.03.2026 16:28;localization_Neu_Marcel_Gress;6;HOA3rdOrder;Music;3;36,6;-9,2;20,171;12,477;15,893;3,151;1,3;1,3;0,2;0
04.03.2026 16:28;localization_Neu_Marcel_Gress;7;HOA4thOrder;Tone;2;271,8;-22,6;52,411;-1,653;52,387;2,303;0,7;0,7;0,4;0
04.03.2026 16:28;localization_Neu_Marcel_Gress;8;Binaural;Tone;1;236,6;-18,2;108,051;-123,765;-8,404;3,278;1,2;1,2;0,8;0
04.03.2026 16:29;localization_Neu_Marcel_Gress;9;HOA3rdOrder;Tone;2;295,1;-20,6;110,007;102,788;46,5;3,409;1,8;1,8;0,6;0
04.03.2026 16:29;localization_Neu_Marcel_Gress;10;HOA4thOrder;Music;4;110,1;-34,4;77,857;-36,275;70,109;3,807;1,2;1;0,3;0
04.03.2026 16:29;localization_Neu_Marcel_Gress;11;Binaural;Music;2;283,7;-13,6;124,714;142,525;-11,46;3,2;1,1;0,6;0,6;0
04.03.2026 16:29;localization_Neu_Marcel_Gress;12;HOA3rdOrder;Voice;4;116;-30,6;124,289;102,12;97,277;3,759;1,4;0,4;1,1;0
04.03.2026 16:29;localization_Neu_Marcel_Gress;13;HOA3rdOrder;Music;2;341,8;47,2;10,278;14,506;0,345;2,448;1,4;0,7;1,3;0
04.03.2026 16:29;localization_Neu_Marcel_Gress;14;HOA4thOrder;Music;2;297,6;75,2;20,803;-19,786;-18,956;2,368;1,7;1,4;1;0
04.03.2026 16:29;localization_Neu_Marcel_Gress;15;HOA3rdOrder;Music;1;265,2;82,4;28,761;-4,706;-28,709;1,92;2,8;2,2;2;0
04.03.2026 16:30;localization_Neu_Marcel_Gress;16;HOA3rdOrder;Voice;3;38,1;68,7;43,598;-77,127;-23,659;1,984;2,5;0,3;2,5;0
04.03.2026 16:30;localization_Neu_Marcel_Gress;17;HOA3rdOrder;Tone;1;223,5;64,6;16,33;-21,811;-10,667;2,481;1,3;0,8;1,1;0
04.03.2026 16:30;localization_Neu_Marcel_Gress;18;HOA4thOrder;Voice;3;17,3;14,8;24,245;-23,401;-7,464;2,882;1;0,6;0,7;0
04.03.2026 16:30;localization_Neu_Marcel_Gress;19;Binaural;Voice;1;247,8;74,9;97,066;-168,034;-66,856;6,704;2;1,2;1,8;0
04.03.2026 16:30;localization_Neu_Marcel_Gress;20;HOA4thOrder;Tone;3;3,8;26,8;11,449;-11,942;4,234;2,815;2,2;0,8;2;0
04.03.2026 16:30;localization_Neu_Marcel_Gress;21;HOA4thOrder;Music;3;76,8;-19,5;129,199;162,05;93,267;3,265;2,8;0,9;2,3;0
04.03.2026 16:31;localization_Neu_Marcel_Gress;22;Binaural;Music;3;13,7;63,9;84,753;38,511;-79,319;2,991;1,3;0,5;1,2;0
04.03.2026 16:31;localization_Neu_Marcel_Gress;23;HOA4thOrder;Voice;1;204;-59;98,367;-17,06;97,303;2,576;2,4;2,1;1;0
04.03.2026 16:31;localization_Neu_Marcel_Gress;24;HOA3rdOrder;Tone;3;39,2;-18;53,728;-9,61;52,941;3,535;1;0,5;1;0
04.03.2026 16:31;localization_Neu_Marcel_Gress;25;HOA4thOrder;Voice;4;117;46,7;100,517;118,304;-35,609;4,064;1,1;1,1;0,4;0
04.03.2026 16:31;localization_Neu_Marcel_Gress;26;HOA3rdOrder;Voice;2;322,4;-40,9;82,699;6,18;82,509;2,304;1,2;1,1;1;0
04.03.2026 16:31;localization_Neu_Marcel_Gress;27;HOA3rdOrder;Music;4;113,4;-46,2;97,769;-41,498;90,634;4,032;3,2;3,1;1,6;0
04.03.2026 16:32;localization_Neu_Marcel_Gress;28;HOA3rdOrder;Tone;4;118,7;81,4;57,271;117,787;-46,514;1,858;2,6;2,6;0,8;0
04.03.2026 16:32;localization_Neu_Marcel_Gress;29;HOA4thOrder;Voice;2;307,1;-52,7;98,043;7,638;97,822;2,21;0,8;0,4;0,8;0
04.03.2026 16:32;localization_Neu_Marcel_Gress;30;Binaural;Voice;4;171,5;-22,6;42,193;-9,587;41,14;4,865;1,9;0,5;1,8;0
04.03.2026 16:32;localization_Neu_Marcel_Gress;31;Binaural;Tone;2;299,1;73,9;126,678;122,356;-102,04;3,09;1,1;0,7;0,5;0
04.03.2026 16:32;localization_Neu_Marcel_Gress;32;HOA4thOrder;Music;1;231,2;-27;92,205;-65,732;69,68;2,656;1,5;1,4;0,7;0
04.03.2026 16:32;localization_Neu_Marcel_Gress;33;HOA4thOrder;Tone;1;266,3;-32,4;111,65;-54,247;106,465;2,608;2,1;1,2;2;0
04.03.2026 16:32;localization_Neu_Marcel_Gress;34;Binaural;Music;1;216,4;-22,2;88,209;-97,065;2,893;3,214;1,8;0,6;1,7;0
04.03.2026 16:33;localization_Neu_Marcel_Gress;35;Binaural;Voice;2;322,5;-20,8;77,124;77,47;18,909;3,855;2;2;0,4;0
04.03.2026 16:33;localization_Neu_Marcel_Gress;36;HOA3rdOrder;Voice;1;254;56,9;45,364;10,016;-44,638;2,175;9,6;2,5;9,3;1
