timestamp;subjectId;designTrialIndex;representation;signalType;quadrant;targetAzDeg;targetElDeg;errorDeg;errorAzDeg;errorElDeg;responseTimeSec;maxHeadDeviationDeg;maxYawDeviationDeg;maxPitchDeviationDeg;headDeviationExceeded
2026-01-29 16:13:37;S16;1;Binaural;Tone;1;3,2;-17,9;21,364;-11,421;18,215;8,319;0,2;0,1;0,2;0
2026-01-29 16:13:49;S16;2;Binaural;Music;3;232,2;29,2;113,587;-116,627;-26,819;5,717;1,3;0,8;0,9;0
2026-01-29 16:14:00;S16;3;HOA4thOrder;Music;1;33,0;71,6;114,551;-117,133;-90,211;2,860;1,2;0,3;0,9;0
2026-01-29 16:14:13;S16;4;HOA3rdOrder;Voice;3;256,8;-5,2;126,808;-126,305;15,396;7,429;1,9;1,4;1,0;0
2026-01-29 16:14:26;S16;5;HOA4thOrder;Tone;1;35,4;-1,1;25,333;-25,304;1,589;4,839;0,5;0,4;0,4;0
2026-01-29 16:14:45;S16;6;HOA3rdOrder;Music;3;241,9;25,6;123,212;-127,532;-21,719;11,613;1,2;0,8;0,6;0
2026-01-29 16:15:13;S16;7;Binaural;Voice;1;64,2;80,9;96,695;-27,281;-95,840;21,444;1,2;0,6;1,1;0
2026-01-29 16:15:22;S16;8;HOA4thOrder;Voice;4;309,7;-2,2;53,043;48,625;22,939;3,241;1,9;0,9;0,9;0
2026-01-29 16:15:33;S16;9;HOA3rdOrder;Tone;3;262,3;71,2;88,760;-53,904;-80,396;5,807;1,3;1,1;1,1;0
2026-01-29 16:15:42;S16;10;Binaural;Tone;4;325,9;-17,6;69,739;72,954;5,858;4,006;1,2;0,5;1,2;0
2026-01-29 16:15:49;S16;11;HOA3rdOrder;Tone;4;343,2;10,0;15,877;13,740;-8,039;2,411;3,8;3,1;1,9;0
2026-01-29 16:16:00;S16;12;HOA3rdOrder;Music;2;177,4;13,9;95,067;-90,246;-35,901;5,472;2,1;1,3;1,4;0
2026-01-29 16:16:12;S16;13;HOA4thOrder;Music;2;144,6;-13,8;65,522;-64,338;16,101;4,638;1,8;1,3;1,2;0
2026-01-29 16:16:23;S16;14;HOA4thOrder;Tone;4;359,5;37,1;46,249;25,357;-39,727;3,581;1,3;0,6;1,1;0
2026-01-29 16:16:35;S16;15;HOA4thOrder;Voice;1;82,4;-35,3;60,775;-0,429;60,774;5,579;1,8;1,5;1,3;0
2026-01-29 16:16:49;S16;16;HOA4thOrder;Tone;2;102,8;31,3;43,149;5,452;-42,829;4,660;3,1;2,9;0,8;0
2026-01-29 16:16:59;S16;17;HOA4thOrder;Music;4;292,0;-47,0;100,722;130,434;28,956;4,411;1,2;1,0;0,8;0
2026-01-29 16:17:11;S16;18;Binaural;Music;2;108,1;31,3;46,042;4,542;-45,834;5,559;1,2;0,5;1,1;0
2026-01-29 16:17:21;S16;19;HOA3rdOrder;Tone;2;139,1;84,6;65,866;166,388;-56,849;3,648;1,2;0,8;1,1;0
2026-01-29 16:17:30;S16;20;HOA4thOrder;Voice;2;101,6;-1,6;109,009;114,220;48,787;4,069;2,0;1,3;1,5;0
2026-01-29 16:17:37;S16;21;HOA3rdOrder;Voice;4;288,7;-25,5;110,737;116,872;20,705;3,298;2,0;1,6;0,9;0
2026-01-29 16:17:47;S16;22;Binaural;Voice;4;327,3;-5,5;45,220;45,687;-2,350;3,579;0,6;0,3;0,5;0
2026-01-29 16:17:57;S16;23;Binaural;Tone;2;177,2;40,2;49,253;-25,175;-43,326;4,095;3,1;2,0;2,3;0
2026-01-29 16:18:07;S16;24;HOA3rdOrder;Music;4;282,3;-41,8;124,850;147,247;38,628;4,529;1,2;0,6;1,0;0
2026-01-29 16:18:16;S16;25;Binaural;Tone;3;190,2;25,0;67,215;-63,250;-26,710;3,245;1,7;0,7;1,6;0
2026-01-29 16:18:27;S16;26;HOA4thOrder;Tone;3;264,3;10,8;145,436;-174,345;16,073;5,336;1,0;0,3;0,3;0
2026-01-29 16:18:36;S16;27;Binaural;Music;1;10,4;7,9;49,097;44,781;-20,967;3,531;3,0;1,0;1,2;0
2026-01-29 16:18:46;S16;28;HOA3rdOrder;Tone;1;63,5;5,4;35,157;-34,944;-4,059;3,515;1,6;0,5;1,6;0
2026-01-29 16:18:55;S16;29;Binaural;Voice;3;188,9;70,5;90,151;-69,004;-76,688;3,758;2,0;0,5;1,9;0
2026-01-29 16:19:05;S16;30;HOA3rdOrder;Voice;2;91,6;32,6;12,359;-13,057;-4,686;4,814;3,5;0,5;3,4;0
2026-01-29 16:19:15;S16;31;Binaural;Voice;2;152,6;-45,2;41,561;2,833;41,488;3,175;1,8;0,7;1,6;0
2026-01-29 16:19:25;S16;32;HOA3rdOrder;Music;1;11,9;-36,1;48,864;32,326;38,760;3,672;1,7;0,6;1,6;0
2026-01-29 16:19:35;S16;33;HOA4thOrder;Music;3;268,7;27,9;164,878;172,332;-38,054;5,111;1,6;1,0;1,0;0
2026-01-29 16:19:46;S16;34;HOA4thOrder;Voice;3;240,7;-25,2;112,867;-110,784;36,006;3,919;1,4;0,8;1,1;0
2026-01-29 16:19:56;S16;35;Binaural;Music;4;305,5;10,5;106,248;105,290;-17,000;3,333;13,9;13,7;2,0;1
2026-01-29 16:20:05;S16;36;HOA3rdOrder;Voice;1;61,2;-41,8;59,601;-7,894;59,163;3,690;1,4;0,5;1,3;0
