timestamp;subjectId;designTrialIndex;representation;signalType;quadrant;targetAzDeg;targetElDeg;errorDeg;errorAzDeg;errorElDeg;responseTimeSec;maxHeadDeviationDeg;maxYawDeviationDeg;maxPitchDeviationDeg;headDeviationExceeded
2026-01-29 10:24:18;S11;1;HOA4thOrder;Music;4;301,8;1,7;3,614;3,529;-0,781;9,895;3,0;2,8;1,2;0
2026-01-29 10:25:08;S11;2;HOA3rdOrder;Tone;3;267,7;-42,2;38,891;-3,785;38,743;23,383;2,2;1,8;0,8;0
2026-01-29 10:25:35;S11;3;Binaural;Tone;2;178,1;-57,5;60,430;-16,230;58,983;6,955;2,2;2,0;0,7;0
2026-01-29 10:27:03;S11;4;HOA3rdOrder;Tone;2;97,4;-9,9;149,897;-150,541;15,359;80,938;1,9;1,8;0,7;0
2026-01-29 10:29:25;S11;1;Binaural;Voice;4;275,5;-50,4;119,907;174,788;41,012;9,086;0,3;0,3;0,2;0
2026-01-29 10:29:41;S11;2;HOA4thOrder;Music;3;193,3;18,5;39,913;-37,785;-14,573;4,953;1,5;0,5;1,5;0
2026-01-29 10:29:56;S11;3;HOA3rdOrder;Music;3;211,6;71,9;87,615;-64,230;-76,143;5,449;1,3;0,5;1,2;0
2026-01-29 10:30:06;S11;4;Binaural;Music;4;271,7;18,2;28,200;14,220;-24,438;3,307;1,4;0,5;1,1;0
2026-01-29 10:30:18;S11;5;HOA4thOrder;Tone;4;323,3;63,3;61,905;-2,988;-61,864;3,380;1,0;0,2;1,0;0
2026-01-29 10:30:27;S11;6;Binaural;Tone;4;325,7;81,2;90,518;-45,519;-87,723;2,074;1,4;0,2;1,0;0
2026-01-29 10:30:42;S11;7;HOA3rdOrder;Voice;3;227,2;28,3;89,475;-85,604;-33,846;7,565;0,5;0,2;0,4;0
2026-01-29 10:30:57;S11;8;HOA3rdOrder;Tone;4;315,5;-27,2;48,149;41,578;27,192;5,673;0,9;0,3;0,6;0
2026-01-29 10:31:08;S11;9;HOA4thOrder;Tone;2;120,8;57,5;68,508;79,061;-38,554;3,962;1,5;0,4;1,5;0
2026-01-29 10:31:21;S11;10;HOA3rdOrder;Tone;3;249,9;5,3;130,320;-130,350;-14,838;6,731;1,3;0,8;1,0;0
2026-01-29 10:31:33;S11;11;HOA4thOrder;Voice;3;188,3;-30,4;59,900;-37,451;47,848;4,036;1,0;0,4;0,3;0
2026-01-29 10:32:03;S11;12;HOA3rdOrder;Voice;2;135,6;78,7;57,852;-50,280;-53,008;19,825;1,5;0,3;0,6;0
2026-01-29 10:32:13;S11;13;Binaural;Voice;1;68,0;-8,0;116,973;-115,532;24,351;2,948;1,6;0,6;1,5;0
2026-01-29 10:32:22;S11;14;HOA4thOrder;Music;2;125,5;-11,6;64,902;65,629;6,776;3,648;1,0;0,8;0,5;0
2026-01-29 10:32:31;S11;15;HOA4thOrder;Tone;3;227,6;31,8;50,261;-55,417;-8,029;3,624;2,4;2,3;0,9;0
2026-01-29 10:32:43;S11;16;Binaural;Voice;3;200,6;-53,0;59,202;-27,464;54,457;6,101;1,4;0,9;1,0;0
2026-01-29 10:32:54;S11;17;HOA4thOrder;Tone;1;70,2;75,2;102,706;-123,872;-82,439;3,380;0,9;0,3;0,7;0
2026-01-29 10:33:05;S11;18;HOA4thOrder;Voice;1;42,3;-4,3;50,352;-49,754;8,146;5,200;1,8;0,7;1,4;0
2026-01-29 10:33:17;S11;19;HOA3rdOrder;Voice;4;287,6;-21,3;125,315;131,421;17,539;5,248;1,1;0,3;1,0;0
2026-01-29 10:33:27;S11;20;Binaural;Voice;2;119,5;-23,7;70,274;70,970;19,313;3,194;2,4;2,3;0,7;0
2026-01-29 10:33:38;S11;21;HOA3rdOrder;Tone;2;175,6;10,9;44,995;-44,717;-6,986;4,529;1,8;0,5;1,5;0
2026-01-29 10:33:54;S11;22;HOA4thOrder;Music;4;318,5;38,0;39,576;22,574;-33,655;7,226;1,0;0,2;0,9;0
2026-01-29 10:34:04;S11;23;Binaural;Music;1;61,8;56,2;90,455;-120,703;-40,133;2,655;1,8;1,2;0,6;0
2026-01-29 10:34:13;S11;24;HOA4thOrder;Voice;2;103,4;50,0;130,251;160,563;-53,987;2,001;1,2;0,4;0,7;0
2026-01-29 10:34:25;S11;25;HOA3rdOrder;Music;1;17,2;46,7;49,070;24,589;-44,134;7,044;1,4;0,5;1,2;0
2026-01-29 10:34:38;S11;26;HOA3rdOrder;Music;4;275,3;-46,7;64,124;-9,058;63,596;4,522;2,3;0,9;1,3;0
2026-01-29 10:34:48;S11;27;HOA3rdOrder;Music;2;152,9;10,1;7,560;1,462;-7,419;4,502;9,4;9,0;2,9;1
2026-01-29 10:35:01;S11;28;HOA3rdOrder;Voice;1;10,5;-44,8;57,584;-39,636;45,980;4,889;0,7;0,4;0,6;0
2026-01-29 10:35:12;S11;29;Binaural;Music;2;167,8;37,4;57,244;-47,652;-36,205;4,771;1,1;0,2;1,1;0
2026-01-29 10:35:31;S11;30;HOA3rdOrder;Tone;1;86,6;-55,6;63,115;-2,433;63,084;9,156;0,6;0,1;0,4;0
2026-01-29 10:35:44;S11;31;Binaural;Music;3;214,3;40,3;83,976;-79,127;-42,025;4,231;3,1;2,5;1,3;0
2026-01-29 10:35:56;S11;32;Binaural;Tone;2;118,5;-25,8;109,233;98,193;55,672;3,286;0,8;0,7;0,1;0
2026-01-29 10:36:08;S11;33;HOA4thOrder;Voice;4;334,7;50,7;48,683;15,942;-46,752;6,262;0,9;0,3;0,5;0
2026-01-29 10:36:18;S11;34;Binaural;Tone;1;73,0;20,6;117,230;-130,208;-0,926;3,535;0,6;0,3;0,4;0
2026-01-29 10:36:26;S11;35;Binaural;Tone;3;223,7;43,8;55,980;-62,484;-20,389;5,685;9,9;8,7;4,2;1
2026-01-29 10:36:37;S11;36;HOA4thOrder;Music;1;22,3;33,2;58,728;-45,003;-40,212;5,088;0,5;0,2;0,5;0
