timestamp;subjectId;designTrialIndex;representation;signalType;quadrant;targetAzDeg;targetElDeg;errorDeg;errorAzDeg;errorElDeg;responseTimeSec;maxHeadDeviationDeg;maxYawDeviationDeg;maxPitchDeviationDeg;headDeviationExceeded
2026-02-23 10:39:54;Jacob;1;HOA3rdOrder;Music;4;355,8;28,3;4,386;0,139;4,385;17,680;0,6;0,3;0,4;0
2026-02-23 10:40:30;Jacob;2;HOA3rdOrder;Voice;4;360,0;15,8;3,765;-2,685;2,779;16,655;0,8;0,2;0,3;0
2026-02-23 10:41:48;Jacob;3;Binaural;Tone;3;262,8;85,9;0,392;-0,685;-0,366;43,474;0,4;0,2;0,1;0
2026-02-23 10:42:08;Jacob;4;HOA4thOrder;Music;1;82,2;14,4;1,199;-0,305;-1,161;13,520;21,9;14,7;8,5;1
2026-02-23 10:45:30;Jacob;5;HOA4thOrder;Tone;2;109,3;79,0;0,929;-0,058;0,928;193,140;48,6;48,6;3,3;1
2026-02-23 10:46:10;Jacob;6;HOA4thOrder;Tone;1;73,7;-11,0;1,542;1,136;1,055;32,338;0,3;0,1;0,3;0
2026-02-23 10:46:21;Jacob;7;HOA3rdOrder;Music;1;46,6;6,0;0,738;-0,259;0,693;5,359;1,1;0,6;0,4;0
2026-02-23 10:46:42;Jacob;8;HOA3rdOrder;Music;3;193,2;3,6;0,143;0,005;-0,144;12,704;1,4;0,7;0,8;0
2026-02-23 10:47:00;Jacob;9;Binaural;Voice;4;320,8;87,4;0,610;-2,207;-0,428;12,096;1,2;0,5;1,1;0
2026-02-23 10:47:37;Jacob;10;HOA4thOrder;Voice;4;351,8;28,0;1,494;1,821;-0,045;31,600;0,8;0,2;0,5;0
2026-02-23 10:48:10;Jacob;11;HOA4thOrder;Voice;2;103,1;85,5;0,365;1,104;0,166;24,880;1,4;0,5;1,3;0
2026-02-23 10:48:25;Jacob;12;HOA4thOrder;Voice;3;260,2;61,7;0,246;0,461;-0,163;8,259;3,1;0,5;2,5;0
2026-02-23 10:48:35;Jacob;13;HOA4thOrder;Music;3;252,9;49,9;1,005;0,690;-0,918;5,422;1,8;0,5;0,8;0
2026-02-23 10:48:51;Jacob;14;Binaural;Voice;2;132,9;-3,1;1,101;0,071;-1,098;11,841;1,6;0,4;0,7;0
2026-02-23 10:49:18;Jacob;15;HOA3rdOrder;Voice;1;43,1;-49,2;1,471;-2,150;-0,133;22,495;0,8;0,5;0,6;0
2026-02-23 10:49:35;Jacob;16;Binaural;Tone;4;317,2;-16,4;1,594;-1,245;1,074;8,559;0,7;0,5;0,5;0
2026-02-23 10:49:52;Jacob;17;HOA4thOrder;Music;4;337,0;-15,1;0,835;-0,337;0,771;7,281;0,2;0,1;0,2;0
2026-02-23 10:50:24;Jacob;18;Binaural;Voice;1;71,3;12,2;0,906;0,856;-0,346;15,935;0,3;0,2;0,2;0
2026-02-23 10:51:11;Jacob;19;Binaural;Voice;3;204,9;-42,7;0,529;0,624;0,181;36,464;0,3;0,1;0,2;0
2026-02-23 10:52:01;Jacob;20;Binaural;Music;2;108,5;-57,5;1,144;1,642;0,171;44,625;1,0;0,2;0,3;0
2026-02-23 10:52:11;Jacob;21;HOA3rdOrder;Tone;4;295,9;-4,7;0,122;-0,003;0,123;4,321;0,7;0,1;0,3;0
2026-02-23 10:52:30;Jacob;22;HOA3rdOrder;Tone;3;222,8;-39,6;0,256;0,312;0,046;13,857;0,7;0,4;0,6;0
2026-02-23 10:52:56;Jacob;23;HOA4thOrder;Tone;4;346,1;-0,7;0,679;-0,150;0,662;20,114;0,6;0,3;0,3;0
2026-02-23 10:53:17;Jacob;24;HOA4thOrder;Voice;1;81,1;74,6;1,093;-2,012;0,697;14,673;1,7;0,2;1,2;0
2026-02-23 10:53:54;Jacob;25;HOA3rdOrder;Voice;2;165,3;1,1;0,993;0,109;0,988;2,816;0,9;0,6;0,6;0
2026-02-23 10:54:28;Jacob;26;Binaural;Music;4;320,1;62,9;1,422;5,727;0,617;16,703;0,9;0,6;0,6;0
2026-02-23 10:55:22;Jacob;27;HOA4thOrder;Tone;3;202,8;-25,1;0,369;-0,143;0,344;11,344;0,0;0,0;0,1;0
2026-02-23 10:55:37;Jacob;28;Binaural;Tone;1;39,0;-32,3;1,126;-0,420;-1,067;9,042;0,7;0,2;0,3;0
2026-02-23 10:56:21;Jacob;29;Binaural;Tone;2;134,6;-12,1;1,743;-0,934;1,478;37,057;0,3;0,2;0,3;0
2026-02-23 10:56:57;Jacob;30;HOA3rdOrder;Tone;1;25,5;-44,6;0,950;1,365;-0,010;30,079;0,4;0,0;0,3;0
2026-02-23 10:57:43;Jacob;31;HOA3rdOrder;Tone;2;101,5;-43,8;0,848;-0,907;-0,454;25,408;0,7;0,5;0,5;0
2026-02-23 10:57:58;Jacob;32;HOA3rdOrder;Voice;3;268,5;53,2;0,719;-1,348;0,087;9,456;1,3;1,1;0,8;0
2026-02-23 10:58:15;Jacob;33;Binaural;Music;1;29,9;38,3;1,070;0,349;-1,034;11,904;1,6;1,0;0,4;0
2026-02-23 10:58:26;Jacob;34;Binaural;Music;3;253,4;0,0;0,699;0,502;-0,487;1,985;0,6;0,1;0,5;0
2026-02-23 10:59:11;Jacob;35;HOA4thOrder;Music;2;140,2;24,8;1,962;1,993;0,606;38,305;0,4;0,2;0,3;0
2026-02-23 10:59:25;Jacob;36;HOA3rdOrder;Music;2;177,4;-48,0;0,163;-0,011;0,162;4,865;0,7;0,5;0,5;0
