timestamp;subjectId;designTrialIndex;representation;signalType;quadrant;targetAzDeg;targetElDeg;errorDeg;errorAzDeg;errorElDeg;responseTimeSec;maxHeadDeviationDeg;maxYawDeviationDeg;maxPitchDeviationDeg;headDeviationExceeded
2026-02-23 11:05:29;MitAbsichtFalsch;1;Binaural;Tone;3;269,7;-49,8;62,344;-12,759;61,451;6,156;0,5;0,4;0,4;0
2026-02-23 11:05:52;MitAbsichtFalsch;2;HOA4thOrder;Voice;3;240,2;37,4;36,113;15,251;-33,412;4,687;0,2;0,2;0,2;0
2026-02-23 11:06:50;MitAbsichtFalsch;3;HOA4thOrder;Music;2;136,1;-47,1;102,921;102,074;43,109;44,129;0,4;0,2;0,3;0
2026-02-23 11:07:04;MitAbsichtFalsch;4;HOA3rdOrder;Music;2;99,3;-22,4;130,592;130,936;23,085;0,993;0,3;0,1;0,2;0
2026-02-23 11:08:49;MitAbsichtFalsch;5;HOA3rdOrder;Music;1;81,3;71,3;101,965;131,091;-55,629;9,280;1,0;0,3;0,8;0
2026-02-23 11:08:58;MitAbsichtFalsch;6;Binaural;Voice;2;106,6;88,8;86,574;104,070;-67,858;4,991;0,5;0,3;0,2;0
2026-02-23 11:09:28;MitAbsichtFalsch;7;Binaural;Tone;4;286,5;55,6;65,497;-31,875;-61,715;1,008;0,4;0,3;0,3;0
2026-02-23 11:11:20;MitAbsichtFalsch;8;Binaural;Music;2;177,3;67,5;88,346;81,492;-66,902;1,713;0,6;0,5;0,4;0
2026-02-23 11:12:44;MitAbsichtFalsch;9;HOA3rdOrder;Voice;4;337,2;55,2;82,315;-70,318;-58,837;0,526;0,5;0,5;0,2;0
2026-02-23 11:14:39;MitAbsichtFalsch;10;Binaural;Tone;2;102,4;24,4;144,196;157,474;-19,836;0,960;0,4;0,1;0,2;0
2026-02-23 11:16:01;MitAbsichtFalsch;11;HOA4thOrder;Tone;1;18,0;-55,2;104,937;-112,311;59,963;1,135;0,6;0,3;0,5;0
