timestamp;subjectId;designTrialIndex;representation;signalType;quadrant;targetAzDeg;targetElDeg;errorDeg;errorAzDeg;errorElDeg;responseTimeSec;maxHeadDeviationDeg;maxYawDeviationDeg;maxPitchDeviationDeg;headDeviationExceeded
2026-01-22 18:35:48;S01;1;HOA4thOrder;Tone;4;285,6;-54,1;9,281;3,929;8,930;35,552;0,0;0,0;0,0;0
2026-01-22 18:36:06;S01;2;HOA3rdOrder;Music;3;202,9;15,3;72,096;71,909;-13,570;8,427;0,0;0,0;0,0;0
2026-01-22 18:36:16;S01;3;Binaural;Tone;3;261,6;-49,3;52,755;17,228;50,620;0,051;0,0;0,0;0,0;0
2026-01-22 18:36:24;S01;4;HOA3rdOrder;Voice;1;78,6;73,0;102,752;-163,202;-69,415;5,283;2,4;0,0;2,4;0
2026-01-22 18:36:40;S01;5;HOA4thOrder;Tone;3;195,3;17,3;78,380;76,923;-20,091;8,090;0,0;0,0;0,0;0
2026-01-22 18:53:38;S01;1;Binaural;Voice;3;237,0;-36,1;42,404;29,354;32,653;20,946;0,0;0,0;0,0;0
2026-01-22 18:54:33;S01;1;HOA3rdOrder;Tone;2;168,5;54,5;125,554;-144,678;-62,487;17,690;45,2;43,5;20,4;1
2026-01-22 18:54:50;S01;2;Binaural;Music;2;151,5;-13,0;100,012;-99,287;17,349;11,472;0,0;0,0;0,0;0
2026-01-22 18:54:59;S01;3;Binaural;Tone;4;301,2;33,1;10,273;11,071;-3,973;3,424;44,2;43,6;9,2;1
2026-01-22 18:55:10;S01;4;HOA3rdOrder;Music;1;31,6;19,8;21,583;22,829;4,341;2,324;4,6;3,6;2,9;0
2026-01-22 18:55:15;S01;5;HOA4thOrder;Tone;3;219,1;-59,6;78,085;52,501;66,241;1,033;14,8;14,6;4,1;0
2026-01-22 19:07:53;S01;1;HOA4thOrder;Tone;1;73,7;-51,7;77,093;-57,319;60,922;7,965;0,7;0,3;0,7;0
2026-01-22 19:08:26;S01;2;Binaural;Tone;1;71,5;2,5;68,118;-67,542;13,497;11,118;8,1;7,9;1,1;0
2026-01-22 19:08:43;S01;3;HOA4thOrder;Tone;3;180,7;11,3;11,966;4,015;-11,277;6,552;2,1;2,1;0,8;0
2026-01-22 19:08:59;S01;4;Binaural;Tone;2;160,2;16,0;25,769;23,037;-12,035;3,872;0,8;0,6;0,7;0
2026-01-22 19:09:19;S01;5;HOA3rdOrder;Voice;3;264,3;-29,1;135,125;-142,696;32,532;6,731;1,9;0,5;1,7;0
2026-01-22 19:09:53;S01;6;Binaural;Voice;4;317,7;29,9;31,814;35,856;-0,602;4,795;3,3;0,6;3,1;0
2026-01-22 19:10:10;S01;7;HOA4thOrder;Music;3;241,2;36,3;61,099;-70,636;-7,660;5,739;41,7;32,4;23,7;1
2026-01-22 19:10:24;S01;8;Binaural;Music;1;60,9;62,8;55,201;-75,060;-32,736;6,100;2,9;2,3;1,6;0
2026-01-22 19:10:53;S01;9;Binaural;Voice;1;56,4;-22,3;58,611;-41,501;42,461;11,948;19,2;19,0;1,3;0
2026-01-22 19:11:04;S01;10;HOA3rdOrder;Voice;4;318,7;86,7;83,547;174,011;-76,214;4,348;1,8;0,7;1,7;0
2026-01-22 19:11:19;S01;11;HOA3rdOrder;Music;3;195,3;-43,7;51,548;-16,993;49,203;5,424;2,3;0,4;2,2;0
2026-01-22 19:11:29;S01;12;Binaural;Music;2;112,6;35,8;95,101;107,847;-19,368;3,849;8,9;8,9;0,9;0
2026-01-22 19:11:37;S01;13;HOA3rdOrder;Music;2;134,2;42,9;36,900;-17,569;-33,443;3,253;1,4;0,5;1,4;0
2026-01-22 19:11:46;S01;14;HOA3rdOrder;Tone;3;181,0;-25,9;36,847;-16,082;33,392;2,796;1,1;0,4;1,1;0
2026-01-22 19:11:54;S01;15;HOA3rdOrder;Voice;1;55,7;76,9;81,405;66,119;-74,978;3,604;2,3;1,8;1,4;0
2026-01-22 19:12:02;S01;16;HOA3rdOrder;Music;4;335,7;-30,1;133,544;135,143;43,241;3,512;3,4;2,7;2,4;0
2026-01-22 19:12:27;S01;17;Binaural;Tone;4;328,4;-19,1;47,205;29,005;37,666;2,748;3,0;0,9;2,7;0
