timestamp;subjectId;designTrialIndex;representation;signalType;quadrant;targetAzDeg;targetElDeg;errorDeg;errorAzDeg;errorElDeg;responseTimeSec;maxHeadDeviationDeg;maxYawDeviationDeg;maxPitchDeviationDeg;headDeviationExceeded
2026-03-04 16:11:59;localization_Neu_Laura_Gress.csv;1;HOA4thOrder;Voice;2;282,1;1,2;37,671;34,468;16,086;5,294;3,5;3,3;1,2;0
2026-03-04 16:13:10;localization_Neu_Laura_Gress.csv;1;HOA3rdOrder;Voice;2;342,5;-22,5;25,028;19,410;16,790;4,015;3,3;3,0;0,9;0
2026-03-04 16:13:18;localization_Neu_Laura_Gress.csv;2;HOA3rdOrder;Voice;4;145,7;21,9;39,643;29,801;-26,665;3,104;3,1;2,0;0,6;0
2026-03-04 16:13:28;localization_Neu_Laura_Gress.csv;3;HOA4thOrder;Tone;1;187,5;-2,0;9,189;-8,634;-3,257;3,920;1,6;1,2;0,9;0
2026-03-04 16:13:37;localization_Neu_Laura_Gress.csv;4;HOA4thOrder;Music;3;3,2;38,1;46,982;44,088;-25,320;4,129;2,9;2,7;1,1;0
2026-03-04 16:13:45;localization_Neu_Laura_Gress.csv;5;HOA4thOrder;Music;2;303,3;-25,5;28,255;29,860;7,135;2,304;3,6;3,1;2,0;0
2026-03-04 16:13:56;localization_Neu_Laura_Gress.csv;6;HOA3rdOrder;Music;2;320,0;-6,0;8,482;4,309;7,314;5,907;3,4;3,4;1,3;0
2026-03-04 16:14:05;localization_Neu_Laura_Gress.csv;7;Binaural;Music;4;118,4;28,0;50,955;28,856;-42,539;4,177;2,2;0,5;2,2;0
2026-03-04 16:14:15;localization_Neu_Laura_Gress.csv;8;Binaural;Voice;1;189,5;-32,5;68,089;-67,508;27,495;4,415;1,1;0,5;0,9;0
2026-03-04 16:14:24;localization_Neu_Laura_Gress.csv;9;HOA3rdOrder;Tone;3;60,4;-59,5;95,132;-59,579;82,519;3,472;3,6;3,3;0,9;0
2026-03-04 16:14:34;localization_Neu_Laura_Gress.csv;10;Binaural;Voice;2;309,4;47,6;107,189;109,901;-50,921;4,858;1,1;0,6;1,0;0
2026-03-04 16:14:44;localization_Neu_Laura_Gress.csv;11;Binaural;Music;3;10,6;82,4;108,959;46,566;-106,917;4,418;1,7;0,8;1,6;0
2026-03-04 16:14:52;localization_Neu_Laura_Gress.csv;12;HOA4thOrder;Music;1;229,6;56,0;38,529;-6,178;-38,214;2,400;1,2;1,2;0,5;0
2026-03-04 16:15:00;localization_Neu_Laura_Gress.csv;13;HOA3rdOrder;Music;3;29,8;-28,5;81,448;-68,055;48,668;2,478;6,2;5,1;3,5;0
2026-03-04 16:15:12;localization_Neu_Laura_Gress.csv;14;HOA3rdOrder;Music;1;248,2;50,5;28,565;-22,164;-22,498;6,207;1,9;1,2;1,6;0
2026-03-04 16:15:22;localization_Neu_Laura_Gress.csv;15;HOA4thOrder;Music;4;94,4;-12,7;149,624;167,351;58,459;6,320;1,3;1,2;0,5;0
2026-03-04 16:15:31;localization_Neu_Laura_Gress.csv;16;Binaural;Tone;4;133,3;20,3;25,068;-11,107;-22,549;4,530;4,5;1,5;4,2;0
2026-03-04 16:15:40;localization_Neu_Laura_Gress.csv;17;Binaural;Tone;2;345,9;10,0;161,811;176,468;-34,205;3,327;2,5;0,8;0,7;0
2026-03-04 16:15:47;localization_Neu_Laura_Gress.csv;18;HOA3rdOrder;Tone;2;290,0;57,3;77,070;-3,957;-76,995;2,018;2,8;1,2;1,1;0
2026-03-04 16:15:54;localization_Neu_Laura_Gress.csv;19;HOA3rdOrder;Voice;1;242,5;77,1;55,056;1,886;-55,046;2,688;3,6;1,6;1,8;0
2026-03-04 16:16:00;localization_Neu_Laura_Gress.csv;20;HOA4thOrder;Voice;1;248,6;-12,2;8,398;0,507;8,383;1,712;3,7;0,6;3,2;0
2026-03-04 16:16:09;localization_Neu_Laura_Gress.csv;21;Binaural;Music;2;315,1;69,4;128,395;160,667;-87,565;4,417;3,9;3,7;1,4;0
2026-03-04 16:16:21;localization_Neu_Laura_Gress.csv;22;HOA3rdOrder;Tone;4;145,0;-38,6;70,053;38,916;59,868;6,561;1,8;0,5;0,9;0
2026-03-04 16:16:34;localization_Neu_Laura_Gress.csv;23;HOA4thOrder;Voice;3;30,7;-23,5;45,063;-32,622;32,047;8,672;7,9;6,3;4,2;1
2026-03-04 16:16:46;localization_Neu_Laura_Gress.csv;24;HOA4thOrder;Voice;4;129,9;0,2;28,355;28,192;3,078;6,512;2,0;0,8;1,8;0
2026-03-04 16:16:56;localization_Neu_Laura_Gress.csv;25;HOA3rdOrder;Music;4;104,0;1,1;5,044;0,461;5,023;5,296;1,6;0,3;1,1;0
2026-03-04 16:17:04;localization_Neu_Laura_Gress.csv;26;HOA4thOrder;Voice;2;347,1;-40,5;61,790;-36,295;52,106;2,239;5,1;4,9;0,7;0
2026-03-04 16:17:11;localization_Neu_Laura_Gress.csv;27;Binaural;Voice;4;173,0;56,1;79,568;-18,386;-77,961;2,816;0,7;0,7;0,5;0
