timestamp;subjectId;designTrialIndex;representation;signalType;quadrant;targetAzDeg;targetElDeg;errorDeg;errorAzDeg;errorElDeg;responseTimeSec;maxHeadDeviationDeg;maxYawDeviationDeg;maxPitchDeviationDeg;headDeviationExceeded
2026-03-04 16:21:13;localization_Neu_Rene_Vogels.csv;1;HOA3rdOrder;Tone;3;54,7;70,2;96,490;-112,665;-71,178;2,749;1,0;0,8;0,9;0
2026-03-04 16:21:20;localization_Neu_Rene_Vogels.csv;2;HOA4thOrder;Music;1;200,2;88,5;46,983;28,809;-46,339;2,527;0,4;0,3;0,2;0
2026-03-04 16:21:28;localization_Neu_Rene_Vogels.csv;3;Binaural;Voice;4;175,6;63,3;60,718;-4,001;-60,639;3,376;2,7;0,8;2,6;0
2026-03-04 16:21:35;localization_Neu_Rene_Vogels.csv;4;HOA3rdOrder;Voice;2;333,7;48,0;14,764;-19,688;-3,992;1,904;3,3;1,2;2,9;0
2026-03-04 16:21:44;localization_Neu_Rene_Vogels.csv;5;Binaural;Music;3;58,8;84,1;114,586;-15,377;-114,417;3,041;1,6;0,7;1,5;0
2026-03-04 16:21:53;localization_Neu_Rene_Vogels.csv;6;Binaural;Tone;1;244,0;52,1;98,777;-98,188;-54,543;3,039;3,8;3,1;2,3;0
2026-03-04 16:22:00;localization_Neu_Rene_Vogels.csv;7;Binaural;Tone;2;308,3;-2,5;51,131;51,148;2,507;2,656;1,7;1,6;0,8;0
2026-03-04 16:22:08;localization_Neu_Rene_Vogels.csv;8;Binaural;Music;2;305,8;-55,3;72,226;101,435;26,612;3,121;1,4;1,1;0,8;0
2026-03-04 16:22:14;localization_Neu_Rene_Vogels.csv;9;HOA4thOrder;Voice;1;269,8;6,0;6,705;-5,053;-4,411;0,478;2,1;1,5;1,3;0
2026-03-04 16:22:21;localization_Neu_Rene_Vogels.csv;10;HOA4thOrder;Music;2;286,5;13,4;17,727;11,986;-13,122;2,416;3,6;3,4;1,5;0
2026-03-04 16:22:29;localization_Neu_Rene_Vogels.csv;11;Binaural;Music;1;187,3;-52,2;75,267;-71,035;48,049;3,793;1,2;1,1;0,4;0
2026-03-04 16:22:36;localization_Neu_Rene_Vogels.csv;12;Binaural;Voice;2;307,2;14,4;51,779;48,911;30,029;2,496;2,3;2,2;0,3;0
2026-03-04 16:22:43;localization_Neu_Rene_Vogels.csv;13;HOA4thOrder;Tone;4;128,1;-57,3;92,250;96,233;57,070;2,063;0,8;0,7;0,7;0
2026-03-04 16:22:49;localization_Neu_Rene_Vogels.csv;14;HOA4thOrder;Tone;1;240,4;36,7;22,150;-26,702;4,998;1,937;1,1;0,9;0,9;0
2026-03-04 16:22:56;localization_Neu_Rene_Vogels.csv;15;HOA4thOrder;Voice;4;131,4;5,1;39,083;38,981;-3,101;2,622;2,2;0,2;2,1;0
2026-03-04 16:23:03;localization_Neu_Rene_Vogels.csv;16;HOA4thOrder;Tone;2;301,5;65,4;63,932;-2,682;-63,900;2,208;2,6;1,3;1,6;0
2026-03-04 16:23:09;localization_Neu_Rene_Vogels.csv;17;HOA4thOrder;Tone;3;68,4;-25,3;124,738;-131,486;26,262;1,906;2,2;2,2;0,6;0
